subnational1,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,density2007,density2010,density2015,density2020,Region Type,Region Type Encoded,Province Size Category,Province Size Encoded,Tree Cover Gain Profile,Tree Cover Gain Encoded,Loss Event Profile,Loss Event Encoded,Max Annual Loss,scaled area_ha,scaled extent_2010_ha,scaled gain_2000-2020_ha,scaled density2020,scaled Max Annual Loss
Metropolitan Manila,55758,3006,3566,448,2,6,2,1,3,12,15,3,5,6,0,8,1,2,0,10,1,1,3,2,0,6,0,18669,19137,20785,21765,Major Urban Center,2,Small,1,Low Gain,1,Standard Fluctuation,1,15,0.02442146,0,0.023718903,1,0
Abra,397148,266985,258953,736,171,218,105,370,315,264,250,123,236,223,104,114,232,260,186,345,391,224,165,159,149,104,301,55,56,57,60,Province,1,Medium,2,Low Gain,1,Standard Fluctuation,1,391,0.262662417,0.220472339,0.039605053,0.001472144,0.011948646
Apayao,391368,350900,345581,280,971,829,1029,1637,1421,1871,2238,1105,1998,1527,1089,911,1862,1689,2089,4066,4058,5226,1708,2079,2245,1945,2007,23,25,26,28,Province,1,Medium,2,Low Gain,1,Experienced High Loss Event,2,5226,0.258628811,0.295257186,0.014451983,0,0.165596797
Benguet,263932,194282,186522,203,63,364,55,129,132,205,133,58,464,359,90,98,65,94,13,131,141,58,47,47,37,33,72,135,146,161,166,Province,1,Medium,2,Low Gain,1,Standard Fluctuation,1,464,0.169696872,0.157943581,0.010204644,0.006348622,0.014268463
Ifugao,250333,140996,131095,1103,84,206,224,269,463,379,340,128,398,540,155,262,195,154,190,552,563,419,336,438,562,314,369,69,73,77,79,Province,1,Medium,2,Moderate Gain,2,Standard Fluctuation,1,563,0.160206733,0.110094159,0.059848861,0.00234623,0.017414516
Kalinga,289776,197643,196689,578,155,260,329,291,426,430,498,265,377,631,350,430,513,536,567,1101,920,653,376,549,415,408,634,56,61,65,70,Province,1,Medium,2,Low Gain,1,Standard Fluctuation,1,1101,0.187732255,0.166720622,0.030889735,0.001932189,0.03451125
Mountain Province,212863,159063,154597,332,89,163,169,168,467,328,336,113,383,976,143,420,194,208,151,413,266,239,161,176,181,176,299,53,65,65,66,Province,1,Medium,2,Low Gain,1,Standard Fluctuation,1,976,0.13405808,0.130383136,0.017320316,0.001748171,0.03053896
Ilocos Norte,337775,183942,182384,372,125,88,49,273,117,171,106,162,184,134,63,107,170,162,82,104,169,80,89,70,87,117,136,160,166,173,178,Province,1,Medium,2,Low Gain,1,Standard Fluctuation,1,273,0.221228631,0.154371298,0.019526725,0.006900676,0.008198805
Ilocos Sur,250402,136059,131175,512,40,77,22,67,70,63,73,56,164,153,44,92,69,119,29,82,56,40,19,22,33,36,30,244,254,266,272,Province,1,Medium,2,Low Gain,1,Standard Fluctuation,1,164,0.160254885,0.110163222,0.027249159,0.0112251,0.004734969
La Union,146258,74879,67666,379,18,37,13,47,56,45,55,39,123,104,23,41,56,44,23,48,55,38,21,20,11,11,24,481,495,525,548,Province,1,Medium,2,Low Gain,1,Standard Fluctuation,1,123,0.087577401,0.055336712,0.019912847,0.023922344,0.003432058
Pangasinan,519296,134352,126181,3056,112,447,28,101,92,148,101,146,331,241,71,135,33,44,26,335,194,109,65,101,64,98,110,484,510,542,580,Province,1,Large,3,Moderate Gain,2,Standard Fluctuation,1,447,0.347904095,0.105851965,0.167576811,0.025394489,0.013728232
Batanes,20763,11649,11038,18,101,47,30,0,0,0,0,0,0,83,0,0,0,136,0,0,159,9,13,5,32,10,9,73,82,85,93,Province,1,Small,1,Low Gain,1,Standard Fluctuation,1,159,0,0.006450482,0,0.002990293,0.004576077
Cagayan,881746,526099,514785,2060,511,993,1671,1700,1876,2886,3881,1633,2594,3307,1884,2022,1641,1106,1385,2000,2023,4641,758,1634,1698,1182,1710,115,120,128,135,Province,1,Very Large,4,Moderate Gain,2,Standard Fluctuation,1,4641,0.600841893,0.441328841,0.112637211,0.004922482,0.147006483
